PCA   K dv-err
--- --- ------
  1   1 69.550
  1   2 72.100
  1   5 74.900
  1  10 77.200
  1  20 78.467
  1  50 76.067
  1 100 75.817
  2   1 55.483
  2   2 57.050
  2   5 58.467
  2  10 60.900
  2  20 62.817
  2  50 64.050
  2 100 62.750
  5   1 29.883
  5   2 29.267
  5   5 28.167
  5  10 29.133
  5  20 29.133
  5  50 29.383
  5 100 29.467
 10   1 14.933
 10   2 13.367
 10   5 11.517
 10  10 10.817
 10  20  9.967
 10  50  9.133
 10 100  8.583
 20   1  8.483
 20   2  7.367
 20   5  5.533
 20  10  5.433
 20  20  4.917
 20  50  4.183
 20 100  3.533
 50   1  6.567
 50   2  5.683
 50   5  4.617
 50  10  3.917
 50  20  3.517
 50  50  2.450
 50 100  2.500
100   1  6.467
100   2  5.400
100   5  4.400
100  10  3.767
100  20  3.183
100  50  2.233 // ESTE
100 100  2.333
