PCA   K dv-err
--- --- ------
  1   1 69.400
  1   2 71.567
  1   5 75.250
  1  10 78.367
  1  20 78.033
  1  50 75.917
  1 100 76.167
  2   1 55.033
  2   2 59.400
  2   5 60.383
  2  10 61.200
  2  20 62.650
  2  50 63.917
  2 100 64.250
  5   1 28.333
  5   2 27.733
  5   5 28.683
  5  10 29.550
  5  20 32.083
  5  50 31.383
  5 100 31.000
 10   1 11.817
 10   2 10.550
 10   5  9.783
 10  10  9.133
 10  20  8.917
 10  50  7.783
 10 100  7.667
 20   1  6.167
 20   2  5.350
 20   5  4.350
 20  10  4.183
 20  20  3.617
 20  50  3.217
 20 100  2.517
 50   1  4.683
 50   2  3.800
 50   5  3.100
 50  10  2.600
 50  20  2.333
 50  50  1.833
 50 100  1.667
100   1  4.267
100   2  3.583
100   5  2.967
100  10  2.517
100  20  2.150
100  50  1.600 // ESTE
100 100  1.850
