PCA   K dv-err
--- --- ------
  1   1 69.233
  1   2 73.300
  1   5 74.350
  1  10 75.767
  1  20 79.700
  1  50 76.233
  1 100 76.600
  2   1 55.433
  2   2 60.233
  2   5 60.717
  2  10 64.267
  2  20 68.033
  2  50 71.650
  2 100 72.433
  5   1 28.600
  5   2 28.250
  5   5 30.767
  5  10 31.550
  5  20 33.817
  5  50 37.400
  5 100 38.567
 10   1 12.483
 10   2 11.967
 10   5 11.200
 10  10 10.883
 10  20 11.300
 10  50 10.500
 10 100 10.733
 20   1  7.050
 20   2  6.617
 20   5  6.250
 20  10  5.333
 20  20  5.850
 20  50  5.650
 20 100  5.500
 50   1  6.617
 50   2  6.667
 50   5  5.867
 50  10  5.550
 50  20  4.767 // Este
 50  50  5.600
 50 100  7.517
100   1  7.300
100   2  7.500
100   5  6.900
100  10  6.633
100  20  6.783
100  50  8.300
100 100  8.483
