PCA   K dv-err
--- --- ------
  1   1 69.667
  1   2 72.867
  1   5 75.767
  1  10 77.900
  1  20 78.617
  1  50 76.217
  1 100 75.517
  2   1 56.633
  2   2 57.583
  2   5 58.300
  2  10 60.233
  2  20 63.867
  2  50 63.400
  2 100 62.783
  5   1 35.467
  5   2 32.917
  5   5 30.933
  5  10 30.317
  5  20 30.300
  5  50 29.350
  5 100 29.767
 10   1 22.350
 10   2 18.500
 10   5 15.500
 10  10 13.750
 10  20 11.333
 10  50 10.450
 10 100  9.350
 20   1 16.467
 20   2 13.533
 20   5 10.233
 20  10  8.267
 20  20  7.217
 20  50  5.433
 20 100  4.983
 50   1 14.617
 50   2 12.000
 50   5  8.233
 50  10  7.417
 50  20  5.950
 50  50  4.667
 50 100  3.817
100   1 14.167
100   2 11.667
100   5  7.967
100  10  7.183
100  20  5.617
100  50  4.383
100 100  3.783 // ESTE
