# SelectionSort. Time in microseconds
#     Size      Average
#----------------------
      1000      393.349
      2000     1583.820
      3000     4198.098
      4000     8899.922
      5000    16236.302
      6000    26624.529
      7000    41024.325
      8000    59694.126
      9000    83518.849
     10000   113514.268
